X,Y,primaryindex,nummer,brunnenart_txt,historisches_baujahr,wasserart_txt,bezeichnung
8.50968061711977,47.3825529455649,812,1106,Brunnen in städtischer Liegenschaft,1984,Verteilnetz,Schulhaus Hardau
8.48226692838232,47.4094488581244,813,1108,privater Brunnen,1985,Verteilnetz,
8.48756808630442,47.3913066025125,814,1115.2,privater Brunnen,1986,Verteilnetz,IBM
8.48739074650295,47.3913542036834,815,1115.1,privater Brunnen,1986,Verteilnetz,IBM
8.53580718305538,47.4080004635226,816,1116.2,Brunnen in städtischer Liegenschaft,1986,Verteilnetz,Sportplatz
8.53318408436988,47.4079990497092,817,1116.1,Brunnen in städtischer Liegenschaft,1986,Verteilnetz,Sportplatz
8.57329038460751,47.3557108641184,818,1129,öffentlicher Brunnen,1988,Verteilnetz,
8.5632414059614,47.4152789066699,819,1135,Brunnen in städtischer Liegenschaft,1988,Verteilnetz,
8.48602986080508,47.3704296567985,820,1136,privater Brunnen,1988,Verteilnetz,
8.49926277308991,47.3601750487701,821,1137.2,privater Brunnen,1988,Verteilnetz,
8.49963131488993,47.360006261182,822,1137.1,privater Brunnen,1988,Verteilnetz,
8.51024150308659,47.364763727366,823,1138,privater Brunnen,1988,Verteilnetz,Altersheim Tiergarten
8.47537587738458,47.4135191115219,824,1139,privater Brunnen,1988,Verteilnetz,Rütihof
8.55948833656286,47.3568191123514,825,1143,Brunnen in städtischer Liegenschaft,1989,Verteilnetz,Patumbah-Park
8.57397673692756,47.3832106795836,826,1144,privater Brunnen,1989,Verteilnetz,
8.56283161368963,47.3761524859263,827,1146,privater Brunnen,1990,Verteilnetz,
8.49664649050768,47.4017029537659,828,1147,Brunnen in städtischer Liegenschaft,1990,Verteilnetz,
8.55841242467569,47.3820506017422,829,1154,Brunnen in städtischer Liegenschaft,1991,Verteilnetz,ehemaliges Reservoir Schlössli
8.49101927431777,47.389736120663,830,1156,privater Brunnen,1991,Verteilnetz,Im Hofe
8.49627976020289,47.3866407698427,831,1164,privater Brunnen,1992,Verteilnetz,
8.5471831949474,47.3931432862563,832,1166,Brunnen in städtischer Liegenschaft,1971,Verteilnetz,Altersheim Oberstrass
8.54591327798976,47.3811379782512,833,1169,privater Brunnen,1993,Verteilnetz,
8.49190891193422,47.3762249981065,834,1084,privater Brunnen,1983,Verteilnetz,bei Kirche
8.57142595828531,47.3470995272222,835,1171,privater Brunnen,1993,Verteilnetz,Epilepsie-Klinik
8.55258607343217,47.380746170822,836,1173,Brunnen in städtischer Liegenschaft,1994,Verteilnetz,
8.54205090699933,47.4168270368594,837,1174,privater Brunnen,1994,Verteilnetz,
8.50482533382727,47.3608795250629,838,1175,privater Brunnen,1994,Verteilnetz,
8.5374277168787,47.3701557121951,839,1178,privater Brunnen,1982,Verteilnetz,
8.54408327483708,47.4097078354704,840,1179,privater Brunnen,1995,Verteilnetz,
8.54925621097293,47.3794820767471,841,1180,privater Brunnen,1985,Verteilnetz,"Eingang Neurologie, Seite Spöndlistrasse"
8.55096722200365,47.3782149829935,842,1181,privater Brunnen,1985,Verteilnetz,
8.53709164660354,47.3790489282714,843,1183.3,privater Brunnen,1992,Verteilnetz,Perronanlage Hauptbahnhof
8.53701900316277,47.3789014962812,844,1183.5,privater Brunnen,1992,Verteilnetz,Perronanlage Hauptbahnhof
8.53693723813428,47.3787612481194,845,1183.7,privater Brunnen,1992,Verteilnetz,Perronanlage Hauptbahnhof
8.53685162702037,47.3786219899448,846,1183.9,privater Brunnen,1992,Verteilnetz,Perronanlage Hauptbahnhof
8.53676844201187,47.3784764120545,847,1183.11,privater Brunnen,1992,Verteilnetz,Perronanlage Hauptbahnhof
8.53668705178574,47.3783350087707,848,1183.13,privater Brunnen,1992,Verteilnetz,Perronanlage Hauptbahnhof
8.5366068552931,47.3782046041156,849,1183.15,privater Brunnen,1992,Verteilnetz,Perronanlage Hauptbahnhof
8.53804094855029,47.3781311649786,850,1183.12,privater Brunnen,1992,Verteilnetz,Perronanlage Hauptbahnhof
