"TITEL";"DATIERUNG";"GATTUNG";"MATERIAL";"KUENSTLER";"STANDORT";"Easting";"Northing";"Easting_WGS";"Northing_WGS";"ID_IMAGES"
[Brunnenplastik "Mädchen mit Fisch, Knabe mit Hund"];1936;Brunnen;Bronze (Plastik), Stein (Trog);Hans Markwalder (1882-1951);Birchplatz (bei Birchstrasse 122);2682959.399;1251534.999;8.53780837448566;47.4094037122331;kir4027
Chad Silver;2005;Freiplastik;Bronze (Plastik), Beton (Sockel);Kurt Laurenz Metzler (*1941);Vorplatz Hallenstadion (bei Wallisellenstrasse 45);2683930.258;1251693.126;8.55069990273811;47.4107027627044;kir4010
"Der Läufer";1934 (zweite Fassung 1937);Freiplastik;Bronze (Plastik), Stein (Sockel);Franz Fischer (1900-1980), Emil Schäfer (1878-1958);Sportanlage Oerlikon (bei Föhrenstrasse 17/Hedegraben);2683264.056;1251208.686;8.54178366826351;47.4064306387029;kir2937
"Fischerbrunnen";1928/1976 (versetzt 2003);Brunnen;Bronze (Plastiken), Stein (Trog, Sockel);Franz Fischer (1900-1980);Franklinplatz (bei Franklinstrasse 28);2683405.118;1251589.461;8.54372338212708;47.4098372005151;kir4026
Max-Bill-Platz;2004-2006;Gestaltung;Föhren, Beton (Rundbänke), Betonplatten;Christoph Haerle (*1958), Sabina Hubacher (*1956), Zschokke Gioor, Schweingruber Zulauf;Max-Bill-Platz (Max-Bill-Platz);2683110.432;1252058.656;8.53990661436598;47.4140940542792;kir3109
Sirius;1969-1972 (versetzt 2012);Brunnen;Polyester;Annemie Fontana (1925-2002);Tramwendeschlaufe Messe/Hallenstadion (bei Wallisellenstrasse 45);2683920.941;1251709.856;8.55057961003679;47.4108544072692;kir3758
Stahlbau VHP;2003;Freiplastik;Cortenstahl;James Licini (*1937);Franklinplatz (bei Gubelhangstrasse 24);2683425.622;1251551.575;8.54398794896469;47.4094938843353;kir4025
Stilles Wasser (auch bekannt als Märchenbrunnen);2001-2005;Brunnen;Metall, Beton;Christopher T. Hunziker (*1956);Wahlenpark (bei Otto-Schütz-Weg 1-5);2683199.693;1252176.189;8.54111112046139;47.4151397859049;kir3434
"Die Schreitende";1958-1964 (platziert 1965);Freiplastik;Bronze;Nelly  Bär (1910-1975);Friedhof Schwandenholz (bei Seebacherstrasse 130);2682758.046;1252962.719;8.53540524229343;47.422268907423;kir3115
"Froschkönig";1938;Brunnen;Bronze (Plastik), Gneis (Trog);Otto Münch (1885-1965);Parkanlage Felsenrainstrasse/Schaffhauserstrasse (bei Schaffhauserstrasse 449);2683541.54;1252447.208;8.54569102844181;47.417533841345;kir4090
Leutschenlicht;2008;Gestaltung;Neonröhren, Plexiglas, Metall, Beton;Christopher T. Hunziker (*1956);Leutschenpark (bei Leutschenbachstrasse 71/75);2684332.692;1252457.013;8.55617556835893;47.4175211591915;kir4413
Mauer Nr. 3;1963 (platziert 1965);Installation;Kupfer;Zoltán  Kemény (1907-1965);Freizeitanlage Am Katzenbach/Freibad Seebach (Nähe Katzenbachstrasse 100);2683612.444;1253100.055;8.5467526630089;47.4233960440176;kir4095
[Ohne Titel];2003;Freiplastik;Holz;Josef Carisch (*1935);Binzmühlestrasse/Thurgauerstrasse (bei Andreasstrasse 15);2683851.257;1251964.088;8.54970411138898;47.4131496562098;kir4313
[Wappen Seebach];nicht datiert;Bauplastik;Keramik;KünstlerIn nicht bekannt;GZ Seebach (bei Hertensteinstrasse 20);2683450.564;1253210.337;8.54462812626055;47.4244083745385;kir3384
"Eisbär";1959;Freiplastik;Marmor;Marcel Wille (1910-1993);Kindergarten Grosswiesen I (bei Grosswiesenstrasse 110);2686680.492;1250820.158;8.58696610016551;47.40249569451;kir4002
[Brunnen mit Eule (auf Stele)];1949;Brunnen;Stein;Uli Schoop (1903-1990);Parkanlage Saatlenstrasse (bei Saatlenstrasse 240);2684890.251;1251647.943;8.56340948956045;47.4101733612305;kir4085
Bronze-Relieftafeln;1980 (platziert 1982);Bauplastik;Bronze;Peter Meister (1934-1999);Neuer Friedhof Schwamendingen (bei Stettbachstrasse 68-70);2685713.575;1250744.185;8.57414363896906;47.4019390060506;kir4037
[Spielplastik];1959;Freiplastik;Beton;Otto Müller (1905-1993);Freibad Auhof (bei Luegislandstrasse 160);2685501.239;1251447.806;8.5714656003847;47.4082944344678;kir4114
Wasserfeld;1986;Brunnen;Porphyr;Esther Gisler (*1945);Schwamendingerplatz (bei Schwamendingerplatz 1);2685576.31;1251049.38;8.5723838420574;47.4047015473262;kir3437
